"ID_1","NAME_1","population_2010"
1,"Šavnik",10930
2,"Žabljak",5606
3,"Andrijevica",94574
4,"Bar",34404
5,"Berane",27605
6,"Bijelo Polje",26405
7,"Budva",69872
8,"Cetinje",92616
9,"Danilovgrad",23251
10,"Herceg Novi",34330
11,"Kolašin",7372
12,"Kotor",111201
13,"Mojkovac",15493
14,"Nikšic",72582
15,"Plav",18262
16,"Pljevlja",30782
17,"Plužine",3152
18,"Podgorica",148221
19,"Rožaje",29020
20,"Tivat",34330
21,"Ulcinj",24276
