"ID_1","NAME_1","population_2010"
1,"Aragatsotn",142893
2,"Ararat",1447421
3,"Armavir",168122
4,"Erevan",1508188
5,"Gegharkunik",257794
6,"Kotayk",181766
7,"Lori",260700
8,"Shirak",245428
9,"Syunik",154109
10,"Tavush",105286
11,"Vayots Dzor",55421
