"ID_1","NAME_1","population_2010"
1,"Baden-Württemberg",10711664
2,"Bayern",12622528
3,"Berlin",4045658
4,"Brandenburg",5813033
5,"Bremen",404311
6,"Hamburg",1420751
7,"Hessen",6078289
8,"Mecklenburg-Vorpommern",1581161
9,"Niedersachsen",8757276
10,"Nordrhein-Westfalen",17723590
11,"Rheinland-Pfalz",4144979
12,"Saarland",639191
13,"Sachsen-Anhalt",2369520
14,"Sachsen",3975707
15,"Schleswig-Holstein",2169978
16,"Thüringen",2234817
