"ID_2","NAME_2","population_2010"
1,"Eisenstadt Umgebung",49710
2,"Eisenstadt",154318
3,"Güssing",24309
4,"Jennersdorf",42688
5,"Mattersburg",283061
6,"Neusiedl am See",31225
7,"Oberpullendorf",80618
8,"Oberwart",71952
9,"Rust",49710
10,"Feldkirchen",8475
11,"Hermagor",37171
12,"Klagenfurt Land",67696
13,"Klagenfurt",120457
14,"Sankt Veit an der Glan",58383
15,"Spittal an der Drau",84757
16,"Völkermarkt",73734
17,"Villach Land",30647
18,"Villach",84398
19,"Wolfsberg",29862
20,"Amstetten",137396
21,"Baden",1930103
22,"Bruck an der Leitha",43604
23,"Gänserndorf",133374
24,"Gmünd",25886
25,"Hollabrunn",26609
26,"Horn",61634
27,"Korneuburg",470372
28,"Krems an der Donau Land",94921
29,"Krems an der Donau Stadt",74793
30,"Lilienfeld",16488
31,"Mödling",1374139
32,"Melk",39074
33,"Mistelbach",54135
34,"Neunkirchen",77774
35,"Sankt Pölten Land",124279
36,"Sankt Pölten",159649
37,"Scheibbs",65396
38,"Tulln",40721
39,"Waidhofen an der Thaya",20620
40,"Waidhofen an der Ybbs",156281
41,"Wien Umgebung",226939
42,"Wiener Neustadt Land",288016
43,"Wiener Neustadt",276146
44,"Zwettl",67584
45,"Braunau am Inn",120170
46,"Eferding",215859
47,"Freistadt",48196
48,"Gmunden",74808
49,"Grieskirchen",42177
50,"Kirchdorf an der Krems",50736
51,"Linz Land",667273
52,"Linz",474236
53,"Perg",20627
54,"Ried im Innkreis",49647
55,"Rohrbach im Mühlkreis",33447
56,"Schärding",44306
57,"Steyr Land",190879
58,"Steyr",171994
59,"Urfahr Umgebung",302243
60,"Vöcklabruck",167838
61,"Wels Land",228110
62,"Wels",228110
63,"Hallein",80932
64,"Salzburg Umgebung",216280
65,"Salzburg",323114
66,"Sankt Johann im Pongau",74735
67,"Tamsweg",27516
68,"Zell am See",94630
69,"Bruck an der Mur",67573
70,"Deutschlandsberg",99134
71,"Fürstenfeld",118932
72,"Feldbach",49228
73,"Graz Umgebung",396923
74,"Graz",396923
75,"Hartberg",34740
76,"Judenburg",43215
77,"Knittelfeld",30983
78,"Leibnitz",62948
79,"Leoben",81252
80,"Liezen",97434
81,"Mürzzuschlag",24814
82,"Murau",28590
83,"Radkersburg",381646
84,"Voitsberg",43705
85,"Weiz",68486
86,"Imst",22810
87,"Innsbruck Land",289449
88,"Innsbruck",207120
89,"Kitzbühel",100304
90,"Kufstein",244238
91,"Landeck",49138
92,"Lienz",31871
93,"Reutte",43637
94,"Schwaz",122397
95,"Bludenz",56607
96,"Bregenz",75000
97,"Dornbirn",338680
98,"Feldkirch",460592
99,"Wien",2163329
