"ID_1","NAME_1","population_2010"
1,"Šumadijski",243900
2,"Borski",93812
3,"Braničevski",257966
4,"Grad Beograd",1420928
5,"Jablanički",229721
6,"Južno-Bački",527724
7,"Južno-Banatski",538482
8,"Kolubarski",173634
9,"Mačvanski",320781
10,"Moravički",202130
11,"Nišavski",372086
12,"Pčinjski",197554
13,"Pirotski",90666
14,"Podunavski",166911
15,"Pomoravski",235627
16,"Raški",264436
17,"Rasinski",216739
18,"Severno-Bački",171241
19,"Severno-Banatski",252855
20,"Srednje-Banatski",202815
21,"Sremski",411212
22,"Toplički",157776
23,"Zaječarski",145388
24,"Zapadno-Bački",143268
25,"Zlatiborski",315495
