"ID_1","NAME_1","population_2010"
1,"Šibensko-Kninska",47728
2,"Bjelovarska-Bilogorska",126515
3,"Brodsko-Posavska",207892
4,"Dubrovacko-Neretvanska",6429
5,"Grad Zagreb",719401
6,"Istarska",228161
7,"Karlovacka",104695
8,"Koprivničko-Križevačka",148989
9,"Krapinsko-Zagorska",165735
10,"Licko-Senjska",41183
11,"Medimurska",184473
12,"Osjecko-Baranjska",327095
13,"Požeško-Slavonska",81731
14,"Primorsko-Goranska",263776
15,"Sisacko-Moslavacka",281308
16,"Splitsko-Dalmatinska",452307
17,"Varaždinska",54039
18,"Viroviticko-Podravska",88810
19,"Vukovarsko-Srijemska",210003
20,"Zadarska",176239
21,"Zagrebačka",326301
