"ID_1","NAME_1","population_2010"
1,"Blagoevgrad",253813
2,"Burgas",443521
3,"Dobrich",246562
4,"Gabrovo",137297
5,"Grad Sofiya",533602
6,"Haskovo",303056
7,"Kardzhali",116009
8,"Kyustendil",184908
9,"Lovech",139373
10,"Montana",116096
11,"Pazardzhik",295478
12,"Pernik",289167
13,"Pleven",295518
14,"Plovdiv",635324
15,"Razgrad",177148
16,"Ruse",203525
17,"Shumen",164343
18,"Silistra",99496
19,"Sliven",170445
20,"Smolyan",121151
21,"Sofia",853109
22,"Stara Zagora",371424
23,"Targovishte",112869
24,"Varna",363791
25,"Veliko Tarnovo",192238
26,"Vidin",114590
27,"Vratsa",189031
28,"Yambol",129841
