"ID_2","NAME_2","population_2010"
274,"Lunner",304929
275,"Nord-Aurdal",6759
276,"Nord-Fron",5921
277,"Nordre Land",8602
278,"Ringebu",3503
279,"Søndre Land",8253
280,"Sør-Aurdal",5589
281,"Sør-Fron",2561
282,"Sel",6746
283,"Skjåk",3034
284,"Vågå",2704
285,"Vang",2600
286,"Vestre Slidre",1420
287,"Vestre Toten",15541
288,"Oslo",508746
289,"Bjerkreim",4705
290,"Bokn",69013
291,"Eigersund",10605
292,"Finnøy",33423
293,"Forsand",12180
294,"Gjesdal",4229
295,"Hå",18160
296,"Haugesund",72450
297,"Hjelmeland",843
298,"Karmøy",78173
299,"Klepp",171345
300,"Kvitsøy",8515
301,"Lund",15981
302,"Randaberg",165390
303,"Rennesøy",12862
304,"Sandnes",64097
305,"Sauda",2364
306,"Sokndal",3834
307,"Sola",152528
308,"Stavanger",238066
309,"Strand",7658
310,"Suldal",5727
311,"Time",18944
312,"Tysvær",3062
313,"Utsira",218
314,"Vindafjord",73435
315,"Ørland",8076
316,"Åfjord",4236
317,"Agdenes",17738
318,"Bjugn",2076
319,"Frøya",561
320,"Hemne",4627
321,"Hitra",4906
322,"Holtålen",1733
323,"Klæbu",148991
324,"Malvik",45010
325,"Meldal",8816
326,"Melhus",16512
327,"Midtre Gauldal",4388
328,"Oppdal",8028
329,"Orkdal",4978
330,"Osen",633
331,"Røros",4332
332,"Rennebu",2496
333,"Rissa",5364
334,"Roan",2531
335,"Selbu",3022
336,"Skaun",62820
337,"Snillfjord",4683
338,"Trondheim",140191
339,"Tydal",1249
340,"Årdal",4384
341,"Askvoll",4621
342,"Aurland",2407
343,"Balestrand",2353
344,"Bremanger",5950
345,"Eid",3389
346,"Førde",8183
347,"Fjaler",18825
348,"Flora",9249
349,"Gaular",6648
350,"Gloppen",4479
351,"Gulen",4359
352,"Høyanger",23789
353,"Hornindal",16798
354,"Hyllestad",1411
355,"Jølster",1621
356,"Lærdal",1085
357,"Leikanger",8166
358,"Luster",5829
359,"Naustdal",2885
360,"Selje",1511
361,"Sogndal",2931
362,"Solund",630
363,"Stryn",7973
364,"Vågsøy",11798
365,"Vik",1325
366,"Bø",4740
367,"Bamble",108131
368,"Drangedal",4347
369,"Fyresdal",821
370,"Hjartdal",3489
371,"Kragerø",10783
372,"Kviteseid",2785
373,"Nissedal",1428
374,"Nome",50434
375,"Notodden",14775
376,"Porsgrunn",33080
377,"Sauherad",22351
378,"Seljord",1516
379,"Siljan",94834
380,"Skien",34062
381,"Tinn",8116
382,"Tokke",2193
383,"Vinje",3835
384,"Balsfjord",11047
385,"Bardu",4455
386,"Berg",780
387,"Bjarkøy",13644
388,"Dyrøy",1631
389,"Gratangen",1483
390,"Harstad",7513
391,"Ibestad",767
392,"Kåfjord",2093
393,"Karlsøy",2845
394,"Kvæfjord",3199
395,"Kvænangen",2462
396,"Lavangen",1643
397,"Lenvik",9150
398,"Lyngen",4907
399,"Målselv",5496
400,"Nordreisa",4081
401,"Sørreisa",3443
402,"Salangen",3028
403,"Skånland",8223
404,"Skjervøy",2172
405,"Storfjord",3266
406,"Torsken",578
407,"Tranøy",641
408,"Tromsø",35336
409,"Åseral",542
410,"Audnedal",2452
411,"Farsund",11904
412,"Flekkefjord",11304
413,"Hægebostad",4586
414,"Kristiansand",42004
415,"Kvinesdal",1726
416,"Lindesnes",9686
417,"Lyngdal",6180
418,"Mandal",26198
419,"Marnardal",7572
420,"Søgne",15378
421,"Sirdal",3082
422,"Songdalen",39902
423,"Vennesla",8747
424,"Andebu",15729
425,"Borre",70874
426,"Hof",92157
427,"Holmestrand",180827
428,"Lardal",9095
429,"Larvik",87135
430,"Nøtterøy",155323
431,"Ramnes",86603
432,"Sandefjord",89945
433,"Sande",61947
434,"Stokke",176549
435,"Svelvik",32277
436,"Tønsberg",151600
437,"Tjøme",44126
438,"Vaale",118880
