"ID_1","NAME_1","population_2010"
1,"Bács-Kiskun",522187
2,"Békés",402241
3,"Baranya",362548
4,"Borsod-Abaúj-Zemplén",679057
5,"Budapest",856927
6,"Csongrád",256595
7,"Fejér",465467
8,"Gyor-Moson-Sopron",388379
9,"Hajdú-Bihar",627282
10,"Heves",290321
11,"Jász-Nagykun-Szolnok",375642
12,"Komárom-Esztergom",237908
13,"Nógrád",229010
14,"Pest",2119150
15,"Somogy",334720
16,"Szabolcs-Szatmár-Bereg",480921
17,"Tolna",217141
18,"Vas",300286
19,"Veszprém",349775
20,"Zala",269011
